study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
5,68,No,45,Fail
8,72,Yes,52,Fail
12,80,Yes,60,Pass
3,55,No,40,Fail
15,90,Yes,78,Pass
10,85,Yes,66,Pass
6,70,No,50,Fail
14,88,Yes,74,Pass
9,76,Yes,58,Pass
4,60,No,42,Fail
16,92,Yes,81,Pass
7,73,No,55,Fail
11,82,Yes,64,Pass
13,86,Yes,72,Pass
2,50,No,35,Fail
18,95,Yes,88,Pass
1,45,No,30,Fail
17,93,Yes,84,Pass
8,78,No,57,Fail
12,84,Yes,69,Pass
5,67,No,48,Fail
9,75,Yes,61,Pass
6,69,No,49,Fail
14,89,Yes,76,Pass
10,81,Yes,63,Pass
3,58,No,39,Fail
15,91,Yes,80,Pass
11,83,Yes,67,Pass
7,71,No,53,Fail
13,87,Yes,73,Pass
4,62,No,41,Fail
16,94,Yes,85,Pass
2,52,No,33,Fail
18,96,Yes,90,Pass
5,66,No,46,Fail
12,79,Yes,65,Pass
9,74,Yes,59,Pass
6,68,No,47,Fail
14,90,Yes,77,Pass
10,82,Yes,62,Pass
